Eccentricity (mm),Eccentricity (deg),Receptive Field Min (deg),Receptive Field Max (deg),X_mm (from data),X_center (computed),Stimulus Area (mm²),radius
0.50425,-3.638114217074678,1.7997741603636255,1.8150811855795672,15.77801445630036,15.778014043417873,13.255700641938335,2.05412282072465
0.6051,-3.2734525588575663,2.1628130489417896,2.1813657909829325,18.9641397006539,18.96413911408923,19.31936570922719,2.479827635148688
0.70595,-2.9078299484913255,2.5267947080513546,2.5486295510910013,22.16020595806878,22.16020517014925,26.582965672816076,2.9088865185396457
0.8068,-2.541286784615403,2.8916806679140374,2.916830134514947,25.36613463213404,25.366133616143614,35.069270784569355,3.3410919759840203
0.90765,-2.1738627143722105,3.2574328455399004,3.2859263261226292,28.58185750029039,28.58185623037127,44.80021729107831,3.7762881334628355
1.0085,-1.8055966334071192,3.624013663139809,3.6558779086533475,31.80731656993185,31.807315020986415,55.797146723051576,4.214354449117304
1.51275,0.047055189451381985,5.468074565801074,5.517121860566358,48.07932462394526,48.07932132316708,130.49626754825738,6.445017616011247
2.017,1.9153550443479492,7.327580895558509,7.394216191948619,64.59170154279626,64.59169592052554,239.93655648082586,8.739232116424322
2.52125,3.795286409778127,9.19859044196645,9.283069757056417,81.34801850817166,81.34800997901162,386.78644472217843,11.095852792685637
3.0255,5.683302449885868,11.077612109677112,11.180079774726211,98.35753908844141,98.35752698703817,573.9988841335359,13.517008525489974
4.034,9.471749638952009,14.848010788641515,14.98657212481071,133.2013264767442,133.20130456494303,1083.8175289304786,18.573901966949702
5.0425,13.261715637666452,18.620003198333613,18.79450579985977,169.3112909763103,169.3112537693219,1805.7636435575077,23.97482888063265
6.051,17.041734442523953,22.38216953167716,22.592371421437743,206.9767670861503,206.9767053575275,2794.325888189061,29.823842063521592
7.0595,20.807855020394015,26.13045176027961,26.376329899541453,246.6096658502346,246.60956443529182,4133.560544173804,36.27331231566497
8.068,24.563641308520808,29.86815592157387,30.15021020129825,288.7821586674355,288.7819932761052,5955.996514826291,43.54138919172665
9.0765,28.32017221452323,33.60595260899248,33.92550890478688,334.2879756251739,334.2877080269678,8475.580492389336,51.94093820748722
10.085,32.096041616394885,37.36187679195841,37.72139041532827,384.2407894389639,384.24035988081147,12047.819937519875,61.92689394015136
11.0935,35.91735836250405,41.161327372399036,41.5646874398464,440.2349098174345,440.23422450866695,17285.257951593823,74.17592932501279
12.102,39.817746271593705,45.03706664256114,45.48990155593442,504.6175785214642,504.6164878102237,25292.815933787446,89.72710494132444
13.1105,43.838344132781614,49.029219715703285,49.53920380497533,580.9747818576958,580.9730396421866,38183.44240617911,110.24593963686915
14.119,48.02780570556013,53.185273961762014,53.7624352778591,675.0570762267521,675.054258446771,60313.6272420422,138.55837694901751
15.1275,52.442299719796395,57.5600784622169,58.217107679529605,796.6973563807519,796.6926811278719,101599.26406349009,179.8333956205199
16.136,57.14550987573223,62.21584348992416,62.968403866931524,964.2372910346818,964.2291699510386,187849.44998541343,244.52880616513187
17.1445,62.20863484398414,67.22214001559433,68.08917835894056,1216.369429331493,1216.3541434057247,400428.23412373674,357.01577784280477
18.153,67.71038826554333,72.65589924060617,73.65995781878641,1651.521314493983,1651.48797161669,1085145.3293043491,587.7180329577607
19.1615,73.73699875177577,78.60141215492402,79.76894151036203,2616.858822475389,2616.759322216854,4787096.477413696,1234.414895760894
20.17,80.38220988442208,85.15032911849593,86.51200173017016,6854.974238338499,6854.154394044757,102299775.65839043,5706.402539818723
21.1785,87.74728021559756,92.40165946440047,93.99268421674634,8961.588925828417,8963.303054133492,285269294.40984505,9529.115207369887
