Eccentricity (mm),Eccentricity (deg),Receptive Field Min (deg),Receptive Field Max (deg),X_mm (from data),X_center (computed),Stimulus Area (mm²),radius
0.50425,-3.638114217074678,1.7234076568837986,1.8915006197444324,15.77801445630036,15.778014043417873,145.56904601118205,6.807060045842283
0.6051,-3.2734525588575663,2.078105991290826,2.266135927161381,18.9641397006539,18.96413911408923,195.8031313158866,7.8946863423184634
0.70595,-2.9078299484913255,2.434357536413966,2.641139323871391,22.16020595806878,22.16020517014925,251.752479221251,8.951832382669123
0.8068,-2.541286784615403,2.7920052483547377,3.0165869874961784,25.36613463213404,25.366133616143614,313.1704185640901,9.984249610725165
0.90765,-2.1738627143722105,3.1509279570075344,3.3925207449485364,28.58185750029039,28.58185623037127,379.86311677180186,10.996098647477305
1.0085,-1.8055966334071192,3.5110271791316907,3.7689612536528396,31.80731656993185,31.807315020986415,451.67475473175557,11.990518744856566
1.51275,0.047055189451381985,5.326581962221661,5.658736040620936,48.07932462394526,48.07932132316708,883.7559904912644,16.772246979683956
2.017,1.9153550443479492,7.162157712771438,7.559766077588135,64.59170154279626,64.59169592052554,1431.721177484406,21.34785715363451
2.52125,3.795286409778127,9.012416278835847,9.469358140828138,81.34801850817166,81.34800997901162,2092.1553349159994,25.80607925539876
3.0255,5.683302449885868,10.873132552954049,11.3846465828233,98.35753908844141,98.35752698703817,2865.4666110960707,30.20109850388629
4.034,9.471749638952009,14.61256795583547,15.222020450488484,133.2013264767442,133.20130456494303,4767.286453497084,38.954773884829365
5.0425,13.261715637666452,18.35933233562214,19.05509306245761,169.3112909763103,169.3112537693219,7200.142591939054,47.87354769543598
6.051,17.041734442523953,22.100453688890937,22.873946002466692,206.9767670861503,206.9767053575275,10283.126971223432,57.21207019347926
7.0595,20.807855020394015,25.83060591171923,26.676049011389335,246.6096658502346,246.60956443529182,14214.332432052122,67.26486853198388
8.068,24.563641308520808,29.551934763008376,30.466433085819663,288.7821586674355,288.7819932761052,19313.222667739283,78.40656674801096
9.0765,28.32017221452323,33.273989280652124,34.25775847768274,334.2879756251739,334.2877080269678,26096.536171870448,91.14156822580604
10.085,32.096041616394885,37.01369311274648,38.07034296569697,384.2407894389639,384.24035988081147,35417.412574825015,106.17774044316873
11.0935,35.91735836250405,40.795332928210925,41.932173157428,440.2349098174345,440.23422450866695,48731.6935829766,124.54629596234746
12.102,39.817746271593705,44.65055472787246,45.87890796083396,504.6175785214642,504.6164878102237,68637.88710638051,147.81108900460703
13.1105,43.838344132781614,48.61836397873452,49.95387827977275,580.9747818576958,580.9730396421866,100053.7107576782,178.46031851238658
14.119,48.02780570556013,52.745127624993444,54.208084866006566,675.0570762267521,675.054258446771,153019.75527815934,220.69821224120145
15.1275,52.442299719796395,57.08457699715748,58.70019529741052,796.6973563807519,796.6926811278719,250185.64171765174,282.1995094608854
16.136,57.14550987573223,61.697811109466386,63.49654058618526,964.2372910346818,964.2291699510386,450039.9280814455,378.48666857072556
17.1445,62.20863484398414,66.65330007462612,68.6711116838832,1216.369429331493,1216.3541434057247,935833.4964930452,545.7884697899729
18.153,67.71038826554333,72.02688849133074,74.30555602478177,1651.521314493983,1651.48797161669,2484674.3262333027,889.3235642819262
19.1615,73.73699875177577,77.90179872898366,80.48917418099003,2616.858822475389,2616.759322216854,10887189.068049345,1861.5853225442547
20.17,80.38220988442208,84.36863407237468,87.31891666487604,6854.974238338499,6854.154394044757,277382483.89742047,9396.466723123382
21.1785,87.74728021559756,91.52538171062841,94.89938089323135,8961.588925828417,8963.303054133492,1000685428.6145787,17847.354562737983
